,Nº slots: 1,Nº slots: 2,Nº slots: 3,Nº slots: 4,Nº slots: 5
Media,414.2705861604069,416.02754099487976,422.00982212982,425.935415710974,432.24457925360815
Desviacion tipica,9.255053580510031,8.336244860648522,11.016043727738731,10.748430496848671,12.083304401955516
Mejor,395.526539416366,398.683704663991,403.5246548755105,411.1878588840015,409.1069390823549
Peor,435.44240779275793,434.82141996961553,449.5874087991892,457.3249712606226,464.2947694433893
