,Algoritmo,Ev. Medias,Ev. Mejor,Desviacion tipica Ev,Mejor Kms,Media Kms,Desviacion tipica Kms
0,Greedy,1.0,1,0.0,574.5513854177129,574.5513854177129,0.0
1,Random_search,100.0,100,0.0,431.50459819070727,431.50459819070727,0.0
2,Local_search,531.0,531,0.0,419.1084013084292,419.1084013084292,0.0
3,Simulated_annealing,326.0,326,0.0,691.9568621774793,691.9568621774793,0.0
4,Tabu_search,3188.0,3188,0.0,419.2049345838863,419.2049345838863,0.0
