seed,alpha,best_solution,best_solution_kms,best_solution_slots
56428042,1.2,[22 19 21 28 20 13 16 13 16 14 28 24  8 17 21 14],132.459,294
27886648,1.2,[20 12 35 20 20 14 14 12 11 25 26 40  8 16 22 22],100.544,317
173386297,1.2,[22 12 32 22 26 14 20 12 10 24 28 36  8 17 24 22],98.325,329
78746995,1.2,[20 12 33 25 20 13 15 12 14 31 26 35  8 16 19 24],100.442,323
95206404,1.2,[22 30 32 21 20 28 26 16 21 24 21 36 25 16 23 21],127.057,382
