seed,radius,n_resets,best_solution,best_solution_km,kms_history,n_generations
27886648,12,10,[ 8 14 14 17 17 13 12 12  7 14 13 18  8 13 15 19],541.271,"[580.194 580.194 580.194 580.194 580.194 580.194 580.194 580.194 580.194
 580.194 580.194 541.271 541.271 541.271 541.271 541.271 541.271 541.271
 541.271 541.271 541.271 541.271 541.271 541.271 541.271 561.437 561.437
 557.427 561.437 610.178 581.545 602.069 612.674 560.658 560.658 560.658
 560.658 560.658 594.529 602.231 593.715 614.884 614.884 596.382 586.254
 586.254 596.428 596.428 616.289 589.417 568.603 597.661 574.896 574.896
 574.896 574.896 597.52  594.667 587.295 587.295 594.667 594.667 594.667
 594.667 594.667 604.628 603.857 612.848 612.848 612.848 598.458 598.458
 598.458 597.307 597.307 597.307 577.494 577.494 577.494 577.494 577.494
 577.494 577.494 577.494 575.113 577.494 577.494 589.902 589.902 589.902
 589.902 589.902 589.902 589.902 584.742 584.742 578.354 584.742 589.902
 589.902 589.902 591.889 591.889 580.932 580.932 585.108 591.396 591.007
 597.873 585.114 585.114 585.114 567.543 566.783 566.783 566.783 555.879
 546.01  555.879 555.879 555.879 555.879 555.879 555.879 544.597 583.001
 583.001 583.001 583.001 583.033 583.033 583.033 551.385 551.385 551.385
 583.033 610.808 610.808 611.025 611.025 611.025 606.411 606.411 606.411
 588.189 618.339 600.955 610.485 610.485 617.462 617.462 617.462 560.764
 560.764 560.764 570.505 570.505 615.827 615.827 591.841 608.459 608.459
 624.667 624.667 611.012 624.667 624.667 617.613 617.613 564.39  576.114
 586.685 586.685 596.232 596.232 605.652 595.813 595.813 595.813 598.235
 627.815 627.815 616.171 627.628 635.076 612.077 612.077 645.122 673.104
 640.438 640.438 634.246 637.255 637.255 637.255 630.314 640.749 640.378
 650.517 665.113 647.998 647.91  647.998 629.366 613.212 644.121 607.625
 591.441 591.441 594.03  605.596 605.596 617.829 661.384 652.835 660.344
 645.688 645.688 625.744 625.744 632.147 624.443 624.443 592.169 592.169
 634.064 599.767 599.767 665.921 645.406 647.328 612.39  658.662 638.896
 668.099 668.099 668.099 675.91  672.834 675.91  679.327 678.437 651.718
 652.894 652.894 662.482 662.482 662.482 662.482 650.81  668.848 702.449
 622.448 670.881 670.881 670.881 658.356 652.557 633.022 667.494 667.494
 667.494 667.494 644.081 667.494 651.272 651.272 651.272 651.272 651.272
 651.272 660.533 609.386 659.539 668.777 650.637 643.823 643.823 594.027
 624.052 624.052 624.052 640.653 640.653 640.653 652.306 639.635 649.447
 676.81  680.281 643.479 635.744 596.706 596.706 638.371 628.079 626.417
 620.845 588.403 640.472 640.472 640.472 674.01  642.921 688.014 633.326
 629.276 591.461 591.461 614.763 612.16  612.16  664.536 679.5   717.033
 598.258 643.566 638.428 638.428 611.442 651.531 624.212 624.212 624.212
 648.86  635.136 667.363 642.246 663.149 662.745 643.857 643.857 643.857
 676.321 650.141 698.33  651.547 643.27  651.547 654.264 654.264 630.022
 635.263 635.263 688.145 666.588 648.359 628.626 671.39  640.182 634.239
 608.497 608.497 608.497 615.888 585.754 649.385 631.899 631.899 597.08
 651.191 658.424 654.997 654.997 659.914 620.676 583.772 642.83  612.703
 643.864 643.864 636.334 653.838 620.797 620.797 661.899 661.899 661.899
 661.899 684.538 684.538 667.299 652.318 652.318 667.624 667.624 684.963
 671.813 671.813 639.591 639.591 639.591 639.591 665.746 665.746 665.746
 665.746 665.746 665.746 665.746 665.912 674.68  683.148 677.516 683.148
 725.795 654.709 709.06  709.06  743.63  666.59  666.59  663.91  663.91
 633.717 677.203 677.203 620.62  620.62  620.62  620.62  620.62  620.62
 624.306 624.306 624.306 678.019 678.019 678.019 630.614 678.019 636.051
 636.051 646.491 617.219 617.219 617.219 624.497 649.037 649.037 649.037
 606.689 606.689 606.689 606.689 606.689 606.689 651.42  681.282 683.62
 683.62  666.717 666.717 634.581 634.581 634.581 650.225 650.225 650.225
 621.507 629.695 629.695 629.695 654.871 653.509 643.036 637.814 573.541
 583.398 657.368 636.574 633.927 585.614 633.927 666.018 664.481 654.266
 645.87  722.69  668.906 668.906 681.372 669.303 713.04  667.052 669.495
 669.495 646.784 652.942 652.942 661.622 657.835 663.437 655.446 681.615
 657.526 643.159 643.159 657.767 644.45  647.51  659.156 619.886 629.417
 638.342 653.38  649.775 631.719 668.182 644.079 651.962 647.514 621.807
 621.807 616.547 616.547 647.357 647.357 633.542 680.46  625.14  625.14
 625.14  625.14  625.14  683.582 683.582 677.118 667.28  644.829 644.829
 644.829 697.172 648.521 605.176 648.521 708.757 638.299 725.318 702.136
 688.829 696.711 676.783 676.783 674.602 662.753 633.245 633.245 655.797
 643.191 618.833 618.833 618.833 674.723 674.723 674.723 683.108 693.864
 693.864 693.864 679.503 684.795 684.795 697.01  642.368 642.368 690.439
 673.957 673.957 690.46  690.46  690.46  672.432 672.432 701.902 648.568
 648.568 649.679 641.141 641.141 641.141 701.902 672.055 672.055 672.055
 690.939 682.172 709.573 650.907 650.907 650.907 650.907 650.907 650.907
 650.907 652.601 652.601 652.601 652.601 652.601 614.276 614.276 614.276
 614.276 614.276 667.541 667.541 706.788 673.203 702.057 679.78  693.095
 693.095 693.095 724.958 695.184 719.015 705.101 672.115 672.115 672.115
 672.115 672.115 697.017 697.017 697.017 697.017 697.017 697.017 684.541
 684.541 658.871 541.271 541.271 541.271 541.271 541.271 541.271 541.271
 541.271 541.271 541.271 541.271 541.271 541.271 541.271 541.271 541.271
 541.271 541.271 541.271 541.271 541.271 541.271 541.271 541.271 541.271
 541.271 541.271 541.271 584.889 584.018 584.018 584.018 584.018 584.018
 584.018 631.832 612.82  566.28  566.28  614.271 648.532 607.144 659.838
 642.483 629.569 629.569 584.892 584.892 619.007 619.007 554.946 608.265
 605.508 617.557 581.137 587.11  564.041 607.221 607.221 607.221 607.221
 607.221 607.221 567.982 567.982 543.928 638.636 643.918 623.85  623.85
 622.366 599.363 586.32  586.32  598.559 594.129 612.787 612.787 624.505
 590.209 629.989 559.685 559.685 559.685 559.685 603.835 604.734 604.734
 604.734 565.115 604.734 618.893 622.129 639.097 639.097 635.248 627.667
 574.476 591.454 591.454 591.454 607.551 582.835 582.835 603.893 603.893
 627.015 619.244 629.43  644.945 630.189 619.489 582.819 620.293 667.668
 635.862 641.905 616.574 616.574 638.947 660.302 613.948 627.393 627.893
 645.347 645.347 633.359 637.394 642.921 642.921 642.921 641.971 672.705
 638.753 647.151 647.151 662.091 660.07  644.522 635.754 641.386 645.844
 641.013 641.013 608.095 635.919 635.919 626.983 626.983 639.161 638.987
 638.987 638.987 642.252 634.944 634.944 634.944 649.663 633.582 633.582
 633.582 649.148 649.148 618.096 675.978 659.12  659.12  643.877 643.877
 643.877 664.37  664.37  649.147 607.517 607.517 607.517 607.517 607.517
 541.271 541.271 541.271 541.271 541.271]",815
173386297,12,10,[13  8 15 13 13 16 12 13  8 13 10 19 11 13 15 22],555.217,"[618.921 618.921 621.207 621.207 621.207 621.207 563.885 563.885 563.885
 563.885 563.885 563.885 563.885 563.885 563.885 563.885 563.885 563.885
 563.885 563.885 563.885 563.885 555.217 555.217 555.217 555.217 555.217
 555.217 555.217 555.217 555.217 555.217 555.217 555.217 555.217 555.217
 555.217 555.217 555.217 555.217 555.217 555.217 555.217 555.217 555.217
 555.217 555.217 555.217 555.217 555.217 555.217 555.217 555.217 555.217
 555.217 555.217 555.217 555.217 555.217 555.217 555.217 555.217 555.217
 555.217 584.819 604.574 597.072 583.066 575.106 583.066 557.308 557.308
 557.308 557.308 593.025 591.602 591.602 591.602 591.602 577.026 577.026
 577.026 577.026 577.026 577.026 577.026 590.207 590.207 590.207 590.207
 590.207 578.526 578.526 592.739 596.173 577.751 596.173 620.495 598.675
 598.675 598.675 591.188 591.188 570.794 570.794 566.799 566.799 566.799
 566.799 566.799 566.799 591.962 629.735 570.064 570.064 570.064 570.064
 570.064 570.064 570.064 593.131 593.131 593.131 593.131 593.131 593.131
 593.131 593.131 593.131 602.127 627.661 605.138 601.623 601.623 614.76
 614.76  614.76  614.76  614.76  585.905 585.905 600.226 600.226 624.55
 624.55  620.957 594.013 594.013 594.013 594.013 594.013 555.217 555.217
 555.217 555.217 555.217 555.217 555.217 555.217 555.217]",160
78746995,12,9,[ 9  7 19 15 22 16 13 10  9 12 12 20  9 14 15 14],533.907,[594.538 594.538 594.538 ... 701.507 701.507 673.281],2329
95206404,12,10,[10  8 14 10 18 16 12 10 12 11 12 20 14 14 16 19],563.082,"[603.007 568.481 568.481 568.481 568.481 568.481 568.481 568.481 563.082
 563.082 563.082 563.082 563.082 563.082]",14
56428042,14,10,[14 11 16 14 11 14 13 11  9 13 11 19  9 14 16 17],565.655,[590.536 565.655],2
27886648,14,10,[ 9  8 20 13 11 14 13 13  7 13 15 20  9 15 17 17],583.968,[588.238 583.968],2
173386297,14,10,[ 7  8 13 18 17 16 17 12  6 15 10 18 13 13 16 15],567.696,"[597.571 597.571 597.571 597.571 597.571 597.571 597.571 597.571 597.571
 597.571 597.571 597.571 597.571 597.571 597.571 597.571 597.571 597.571
 597.571 597.571 595.224 595.224 595.224 567.696 567.696 567.696 567.696
 567.696]",28
78746995,14,10,[13  8 19 13 11 14 11 11  7 13 15 19 11 14 16 16],584.891,"[590.763 590.763 590.763 590.763 590.763 590.763 590.763 590.763 584.891
 584.891]",10
95206404,14,10,[17 10 14 14 12 15  9 10 12 14 15 19  9 14 16 16],554.489,[608.229 608.229 608.229],3
56428042,16,10,[16 14 14  7 14 14 11 14  9 14 14 19  9 14 16 16],584.107,[],0
27886648,16,10,[ 8 12 17 17 12 15 13 10  8 13 13 19  9 15 16 16],580.194,[],0
173386297,16,10,[13  8 17  8 10 17 17 10  7 15 15 19 13 14 16 16],597.571,[597.571],1
78746995,16,10,[ 9  9 14 11 17 14 13 17  7 11 17 19  9 14 16 16],584.289,[],0
95206404,16,10,[ 8  8 14 13 18 15  9 10 13 11 20 19  9 14 19 17],584.929,[608.229],1
