Algoritmo,Ev. Medias,Ev. Mejor,Desviacion tipica Ev,Mejor Fitness,Media Fitness,Desviacion tipica Fitness
Greedy,1.0,1,0.0,3108.109,3108.109,0.0
SH,320.0,320,0.0,3389.411999999997,3521.7933333333312,98.70245507697557
SHE,320.0,320,0.0,3389.411999999997,3521.7933333333312,98.70245507697557
SCH,1816.6666666666667,1810,4.714045207910316,9009.963000000003,9193.700333333336,173.16458585082896
