,Semilla,Algoritmo,Kilometros,Evaluaciones,Iteraciones,Limite Vecinos,Solucion
0,0,Greedy,574.5513854177129,1,0,0,[ 7  9 18  8 11 18 11 12  8 13 13 24 11 18 20 19]
0,135425092,Simulated_annealing,751.300643672409,448,80,20,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 17 68]
0,135425092,Simulated_annealing,762.0387110449934,379,80,50,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,380,80,80,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,344,80,110,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,344,80,140,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,751.300643672409,507,100,20,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 17 68]
0,135425092,Simulated_annealing,762.0387110449934,399,100,50,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,400,100,80,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,364,100,110,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,364,100,140,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,751.300643672409,567,120,20,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 17 68]
0,135425092,Simulated_annealing,762.0387110449934,419,120,50,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,420,120,80,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,384,120,110,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,384,120,140,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,751.300643672409,627,140,20,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 17 68]
0,135425092,Simulated_annealing,762.0387110449934,439,140,50,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,440,140,80,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
0,135425092,Simulated_annealing,762.0387110449934,404,140,110,[ 6  7 13  6  8 13  8  9  6 10 10 18  8 13 15 70]
