,Semilla,Algoritmo,Kilometros,Evaluaciones,Solucion
0,101458323,Local_search,582.173,1320,[ 7  8 13 14 17 13 12 14 11 14 13 21  8 13 16 26]
0,101458323,VNS_Search,558.64,8572,[14  8 13 14 16 14 12  9 11 15 16 25  8 13 16 16]
0,101458323,Basic_G,506.431,14424,[10  9 17 14 19 14 15 11 12 12 13 19  8 13 15 14]
0,101458323,Multinode_G,502.799,60120,[15  8 15 14 20 14 12 12  8 15 12 20  8 13 15 14]
0,101458323,CHC,547.459,50424,[ 8  7 13 19 20 15  8 11 19 12 12 19  9 13 15 14]
