,Rosenbrok cost,Rosenbrok Ev,Rastrigin cost,Rastrigin Ev
Local Search,0.01681259330502742,1110.0,49.7602852646208,20.0
Local PSO,0.0009822697742811958,2430.0,0.0,10.0
Global PSO,0.0007299030931065988,710.0,0.0,10.0
Mean,0.0061749220574717385,1416.6666666666667,16.5867617548736,13.333333333333334
Std,0.009213357662315428,900.074071026009,28.729114092481385,5.773502691896257
