,rosenbrok,rastrigin
Local Search,2.0879078147171137,50.0
Local PSO,0.0009873913556051055,0.00043515511643832383
Global PSO,0.0009583282780099825,0.000324605445833015
Mean,0.6966178447835762,16.666919920187425
Std,1.2048924580805596,28.86729413555163
