seed,radius,radius_share,best_solution,best_solution_km,niches,niches_kms
27886648,10,16,[10  7 18 14 20 14 12  9 12 12 14 22  8 13 15 14],503.545,"[[19  8 15 15 17 14 12 12 12 11 10 20  8 13 15 14]
 [10  7 18 14 20 14 12  9 12 12 14 22  8 13 15 14]
 [11  8 17 14 15 14 12  9 12 16 17 20  8 13 15 14]
 [13 10 14 15 20 14 12 11  8 14 13 18  8 13 15 17]
 [15  8 16 14 16 13 12  9 12 12 14 22  8 13 15 16]]",[505.751 503.545 510.487 507.11  510.108]
173386297,10,16,[13  8 13 14 20 14 12 12 12 14 11 20  8 13 15 16],503.061,"[[10  8 16 14 20 14 12 11 12 12 12 24  8 13 15 14]
 [13  8 13 14 20 14 12 12 12 14 11 20  8 13 15 16]
 [10  8 15 14 18 14 12 15  8 12 13 20 14 13 15 14]
 [12 10 17 14 17 14 14  9 12 13 14 18  8 13 15 15]
 [10  8 15 14 18 14 12 12 12 13 12 23  8 13 15 16]]",[504.788 503.061 521.058 505.039 508.063]
78746995,10,16,[11  8 16 15 16 14 13 10 12 11 15 24  8 13 15 14],506.324,"[[11  9 16 16 18 14 14  9 12 11 14 19  9 13 15 15]
 [12  8 15 14 17 14 12 10 12 15 14 21  8 13 15 15]
 [11  8 16 15 16 14 13 10 12 11 15 24  8 13 15 14]
 [10 10 19 14 16 14 13 10  8 15 15 18  8 13 15 17]
 [11  9 15 15 16 14 14  9 13 11 15 19 11 13 15 15]]",[507.427 507.308 506.324 512.497 513.047]
95206404,10,16,[13  9 16 14 20 14 12 12 12 12 12 19  8 13 15 14],499.791,"[[12  8 19 15 17 14 12 10 12 11 14 21  8 13 15 14]
 [11  8 17 14 17 14 12  9 12 15 15 21  8 13 15 14]
 [13  9 16 14 20 14 12 12 12 12 12 19  8 13 15 14]
 [12  9 17 15 17 14 13  9 12 11 14 22  8 13 15 14]
 [12 10 16 15 20 14 12 11 12 11 13 18  8 13 15 15]]",[504.755 504.882 499.791 505.978 502.769]
56428042,12,6,[11  9 21 14 20 14 13 10  8 12 14 19  8 13 15 14],504.19,"[[12  9 16 14 16 14 12 17  8 15 12 19  9 13 15 14]
 [12  8 13 14 15 18 12  9  8 18 16 22  8 13 15 14]
 [11  8 14 14 17 14 14  9 12 15 15 22  8 13 15 14]
 [11  9 21 14 20 14 13 10  8 12 14 19  8 13 15 14]
 [12  9 18 14 15 14 16  9 12 13 14 19  8 13 15 14]]",[515.204 517.871 506.098 504.19  507.778]
27886648,12,6,[14  9 16 14 20 14 12 12 12 12 12 18  8 13 15 14],501.565,"[[12  8 19 14 16 14 12  9 12 14 14 21  8 13 15 14]
 [10  9 21 15 18 14 12 10 12 11 14 19  8 13 15 14]
 [13 10 19 14 13 14 12 10 12 12 16 18  9 13 15 15]
 [12  9 13 14 20 14 12 12 12 17 12 18  8 13 15 14]
 [14  9 16 14 20 14 12 12 12 12 12 18  8 13 15 14]]",[504.182 503.809 512.652 503.267 501.565]
173386297,12,6,[17  9 14 14 18 14 14 13  8 12 12 19  8 13 15 15],507.35,"[[11  9 17 14 19 14 12 13  8 17 12 19  8 13 15 14]
 [11  9 14 14 18 14 12  9 12 17 14 19 10 13 15 14]
 [17 11 14 14 16 14 12  9 12 12 14 18  9 13 15 15]
 [12 10 17 14 15 14 15 10 12 14 14 18  8 13 15 14]
 [17  9 14 14 18 14 14 13  8 12 12 19  8 13 15 15]]",[511.187 508.678 513.692 507.91  507.35 ]
78746995,12,6,[13  8 13 14 20 14 13 12  8 14 12 24  8 13 15 14],502.65,"[[13  9 15 14 20 14 13 10  8 13 14 22  8 13 15 14]
 [13  8 13 14 20 14 13 12  8 14 12 24  8 13 15 14]
 [13 10 17 14 17 18 12 14  8 12 12 18  8 13 15 14]
 [11 11 16 15 16 14 13  9 12 11 16 19 10 13 15 14]
 [11 10 18 14 18 14 13 10 12 12 14 18  8 13 15 15]]",[506.705 502.65  511.616 511.948 505.185]
95206404,12,6,[12  9 15 14 20 14 12 12 12 14 12 19  8 13 15 14],500.179,"[[12 10 15 14 20 14 12 13 12 13 12 18  8 13 15 14]
 [10  8 14 14 19 14 12 10 12 16 12 24  8 13 15 14]
 [14  9 14 14 20 14 12 13  8 12 12 19 11 13 15 15]
 [12  9 15 14 20 14 12 12 12 14 12 19  8 13 15 14]
 [12  9 17 14 16 15 14 10 12 13 14 19  8 13 15 14]]",[501.668 506.452 507.562 500.179 506.393]
56428042,12,8,[11  9 21 14 20 14 12 12  8 12 13 19  8 13 15 14],502.442,"[[11 12 20 14 16 14 12  9  9 15 15 18  8 13 15 14]
 [13 10 19 15 18 14 12  9 12 12 13 18  8 13 15 14]
 [10 10 14 14 20 14 12 10 12 17 14 18  8 13 15 14]
 [11  9 21 14 20 14 12 12  8 12 13 19  8 13 15 14]
 [10  8 14 14 19 15 16 12  8 12 12 21 10 13 15 16]]",[514.082 506.074 506.547 502.442 515.907]
27886648,12,8,[10  7 19 14 20 14 12  9 12 12 14 21  8 13 15 14],503.565,"[[15  9 18 15 15 14 13  9 12 12 14 19  8 13 15 14]
 [10  7 19 14 20 14 12  9 12 12 14 21  8 13 15 14]
 [10  9 14 14 20 14 13 14  8 15 12 19  9 13 15 16]
 [13  9 13 14 20 13 12 11  8 14 13 18 15 13 15 14]
 [16  8 14 14 20 13 12 12  8 12 12 20  9 13 15 17]]",[509.343 503.565 510.17  515.897 508.002]
173386297,12,8,[13  8 13 14 20 14 12 12 12 14 11 22  8 13 15 14],500.723,"[[12  9 19 14 20 15 12 13  8 12 12 19  8 13 15 14]
 [13  8 13 14 20 14 12 12 12 14 11 22  8 13 15 14]
 [13  8 18 14 14 13 12  9 12 13 15 21  8 13 15 17]
 [11 10 17 14 18 14 14  9 12 13 14 18  8 13 15 15]
 [16 10 13 14 20 14 12 12  8 13 12 18  8 13 15 17]]",[502.623 500.723 511.198 504.591 504.602]
78746995,12,8,[13  9 14 14 20 14 12 10 12 12 13 22  8 13 15 14],503.952,"[[13  9 14 14 20 14 13 11  8 13 13 19  9 13 15 17]
 [13  9 14 14 20 14 12 10 12 12 13 22  8 13 15 14]
 [10 10 18 14 16 14 14 10 13 12 16 18  8 13 15 14]
 [11 12 15 15 18 14 13 10 12 13 14 18  8 13 15 14]
 [11  9 14 14 17 14 13  9 12 14 15 19 10 13 15 16]]",[507.914 503.952 507.507 509.998 509.611]
95206404,12,8,[12  9 14 14 20 14 12 12 12 15 12 19  8 13 15 14],500.84,"[[11  8 19 14 20 14 12  9 12 12 14 20  8 13 15 14]
 [11 10 15 14 17 14 13 10 12 16 14 18  9 13 15 14]
 [13  9 15 14 20 14 13 11 12 13 12 19  8 13 15 14]
 [12  9 14 14 20 14 12 12 12 15 12 19  8 13 15 14]
 [10  9 14 14 17 14 14 10 12 14 15 21  8 13 15 15]]",[502.873 507.713 501.542 500.84  508.857]
56428042,12,10,[14  8 17 14 20 14 12 13  8 13 12 20  8 13 15 14],502.905,"[[14  8 17 14 20 14 12 13  8 13 12 20  8 13 15 14]
 [ 8 10 21 14 16 14 12 12  8 14 15 18 10 13 15 15]
 [13  8 13 15 20 14 13 11 12 13 12 21  8 13 15 14]
 [11  8 16 16 16 15 16  9  8 11 15 23  8 13 15 15]
 [10 10 16 14 20 14 15 11  8 15 13 18  8 13 15 15]]",[502.905 517.167 503.454 513.988 509.431]
27886648,12,10,[12  8 17 14 19 13 12 12 12 12 12 22  8 13 15 14],504.158,"[[12  9 18 14 16 14 14 10 12 13 14 19  8 13 15 14]
 [10  9 19 14 19 14 13 11 12 12 13 19  8 13 15 14]
 [15  8 16 14 14 15 12 11  8 12 13 20  8 13 15 21]
 [13  8 14 13 20 14 12 12  8 11 12 20 13 13 15 17]
 [12  8 17 14 19 13 12 12 12 12 12 22  8 13 15 14]]",[505.045 504.586 520.358 518.275 504.158]
173386297,12,10,[12  9 16 14 20 14 13  9 12 12 14 19  8 13 15 15],504.417,"[[11 10 17 14 17 14 13  9 12 15 15 18  8 13 15 14]
 [11  8 14 14 18 14 12 10 12 15 14 22  8 13 15 15]
 [12  8 17 14 16 14 12 10 12 12 13 22 11 13 15 14]
 [12  9 16 14 20 14 13  9 12 12 14 19  8 13 15 15]
 [16  9 15 15 19 13 12 14  8 12 12 18  8 13 15 16]]",[504.604 506.84  511.632 504.417 511.726]
78746995,12,10,[12  8 14 14 19 14 12  9 12 13 14 24  8 13 15 14],503.77,"[[12  9 16 14 20 14 13 12  8 14 12 19  9 13 15 15]
 [12  8 14 14 19 14 12  9 12 13 14 24  8 13 15 14]
 [10  9 20 15 16 16 16 10  8 12 14 19  8 13 15 14]
 [11  9 14 14 19 14 12  9 12 14 14 23  8 13 15 14]
 [11  8 16 12 17 14 12  9 12 19 15 20  8 13 15 14]]",[503.832 503.77  513.143 505.855 511.266]
95206404,12,10,[12 10 16 14 20 14 13 12 12 12 12 18  8 13 15 14],500.094,"[[10  8 18 15 19 14 12 10 12 11 14 22  8 13 15 14]
 [11  9 15 14 16 14 13  9 12 16 13 19  8 13 15 18]
 [12 10 16 14 20 14 13 12 12 12 12 18  8 13 15 14]
 [12  9 14 14 20 14 12  9 12 16 14 19  8 13 15 14]
 [13  9 14 14 19 14 14 11 12 12 13 19  8 13 15 15]]",[503.839 511.836 500.094 504.727 505.373]
56428042,12,12,[12  8 13 14 20 14 13 13  8 14 12 23  9 13 15 14],505.633,"[[12  8 13 14 20 14 13 13  8 14 12 23  9 13 15 14]
 [10  7 18 14 17 13 13  9 12 13 15 21  8 13 15 16]
 [11  8 18 14 17 15 12 10 12 14 14 20  8 13 15 14]
 [10  9 18 14 19 14 14 12 12 12 12 19  8 13 15 14]
 [14 10 15 15 16 15 12  9 12 14 14 18  9 13 15 14]]",[505.633 508.622 506.493 506.014 510.943]
27886648,12,12,[12 10 19 14 20 14 12 12  8 14 12 18  8 13 15 14],500.418,"[[10 10 16 14 18 14 14 10 12 15 14 18  8 13 15 14]
 [10  9 18 15 19 14 12 10 13 12 14 19  8 13 15 14]
 [ 8  8 21 14 14 14 14 14  8 12 15 21 10 13 15 14]
 [12 10 19 14 20 14 12 12  8 14 12 18  8 13 15 14]
 [17  8 13 16 19 14 12 11 12 10 10 23  8 13 15 14]]",[505.391 506.194 523.729 500.418 503.738]
173386297,12,12,[13  8 13 14 20 14 13 12 12 13 11 21  8 13 15 15],502.221,"[[11  8 14 15 17 15 12  9 12 18 14 20  8 13 15 14]
 [13  8 13 14 20 14 12 12 12 13 11 20  8 13 15 17]
 [12  9 16 16 16 14 12  9 12 10 15 19 13 13 15 14]
 [12 10 15 14 20 14 14 10 12 12 14 18  8 13 15 14]
 [13  8 13 14 20 14 13 12 12 13 11 21  8 13 15 15]]",[509.335 503.68  512.6   504.65  502.221]
78746995,12,12,[10 10 19 14 17 14 13 10 12 13 15 18  8 13 15 14],504.754,"[[12 10 14 16 20 14 12 12  8 14 13 18  8 13 15 16]
 [10  8 15 14 20 14 12 10 13 12 14 23  8 13 15 14]
 [10 10 19 14 17 14 13 10 12 13 15 18  8 13 15 14]
 [10  9 20 15 16 14 14 10  8 12 15 19  8 13 15 17]
 [11  8 15 16 17 14 14  9 12 11 15 23  8 13 15 14]]",[507.496 505.042 504.754 512.001 506.151]
95206404,12,12,[14  8 14 14 20 14 12 12 12 12 10 23  8 13 15 14],499.392,"[[10  9 20 14 19 13 12 10 12 13 14 19  8 13 15 14]
 [10 10 21 14 16 14 12 10  8 13 16 18  8 13 15 17]
 [11  9 15 15 17 14 12  9 12 11 15 22  9 13 15 16]
 [14  8 14 14 20 14 12 12 12 12 10 23  8 13 15 14]
 [12  8 16 14 15 14 14  9 12 15 15 21  8 13 15 14]]",[504.558 511.413 509.597 499.392 507.637]
56428042,12,14,[12  8 15 14 20 14 12 11 12 14 13 20  8 13 15 14],502.831,"[[12  9 13 14 17 14 13 17  8 14 12 19 11 13 15 14]
 [ 9  8 18 14 16 14 12 11  8 17 16 22  8 13 15 14]
 [12  8 15 14 20 14 12 11 12 14 13 20  8 13 15 14]
 [12  9 15 14 19 15 12  9 12 13 14 19  9 13 15 15]
 [13  8 20 14 14 14 12  9  8 14 15 24  8 13 15 14]]",[517.826 512.549 502.831 507.794 509.084]
27886648,12,14,[11  7 20 14 20 13 12  9 12 12 14 21  8 13 15 14],503.89,"[[13  8 19 14 15 14 12  9 12 13 15 21  8 13 15 14]
 [11  7 20 14 20 13 12  9 12 12 14 21  8 13 15 14]
 [10  9 18 14 17 14 14 13  8 14 12 19  9 13 15 16]
 [12  9 14 13 20 14 14  9  8 16 14 19  8 13 15 17]
 [18 10 15 16 17 13 12 12 12 11 11 18  8 13 15 14]]",[505.894 503.89  514.291 511.704 508.603]
173386297,12,14,[16  9 14 14 19 14 13 12  8 15 12 19  8 13 15 14],504.328,"[[16  9 14 14 19 14 13 12  8 15 12 19  8 13 15 14]
 [12  9 16 14 20 14 12 14  8 12 13 19  8 13 15 16]
 [11  9 17 16 17 14 12 11 12 10 13 19 12 13 15 14]
 [10  8 16 14 17 14 14 10 12 13 15 22  8 13 15 14]
 [14  8 13 12 19 14 13 12  8 16 12 22  8 13 15 16]]",[504.328 507.696 512.402 506.249 511.011]
78746995,12,14,[12  8 18 14 17 14 12  9 12 15 14 20  8 13 15 14],504.968,"[[13  9 14 14 20 14 12 11  8 12 12 19 11 13 15 18]
 [11  8 15 15 20 14 12  9 13 12 14 22  8 13 15 14]
 [14 10 18 14 14 14 12  9 12 13 15 18  8 13 15 16]
 [12  8 18 14 17 14 12  9 12 15 14 20  8 13 15 14]
 [12  9 19 14 15 13 14  9  8 13 15 19  9 13 15 18]]",[509.691 505.497 510.293 504.968 514.259]
95206404,12,14,[13  7 15 14 20 14 12 12 12 13 11 21  8 13 15 14],501.297,"[[11  9 14 14 16 15 14  9  8 13 16 19 14 13 15 15]
 [12 10 16 14 18 14 14 13  8 14 12 18 10 13 15 14]
 [13 10 15 14 20 16 12 11  8 15 12 18  9 13 15 14]
 [13  7 15 14 20 14 12 12 12 13 11 21  8 13 15 14]
 [12  8 17 15 19 14 12  9 12 11 14 22  8 13 15 14]]",[519.652 510.939 506.139 501.297 503.913]
56428042,12,16,[11  8 20 15 19 14 12  9 12 11 14 20  8 13 15 14],503.152,"[[13  8 17 14 15 14 12 12  8 13 12 24 11 13 15 14]
 [10  8 14 13 16 14 14 10  8 17 15 24  8 13 15 16]
 [10 10 13 14 20 14 13 10 12 17 14 18  8 13 15 14]
 [11  8 20 15 19 14 12  9 12 11 14 20  8 13 15 14]
 [10  9 14 14 19 14 12 10 14 12 14 19  8 13 15 18]]",[515.147 515.01  507.47  503.152 511.535]
27886648,12,16,[12  8 13 15 20 14 12 13 12 11 12 23  8 13 15 14],502.494,"[[11  8 17 14 17 14 12 10 12 13 14 23  8 13 15 14]
 [10 10 19 15 18 14 14 10 12 11 14 18  8 13 15 14]
 [10 10 15 14 19 14 13 10 12 16 13 18  8 13 15 15]
 [ 9  8 15 14 20 14 12 11  8 14 13 24  8 13 15 17]
 [12  8 13 15 20 14 12 13 12 11 12 23  8 13 15 14]]",[504.128 504.303 507.394 509.519 502.494]
173386297,12,16,[10  9 16 15 18 14 14 10 13 13 14 19  8 13 15 14],507.217,"[[12  8 18 14 16 14 13 12  8 15 12 23  8 13 15 14]
 [13  9 18 14 17 14 15 12  8 13 12 19  8 13 15 15]
 [14 15 14 14 13 14 13  9  8 13 16 18 10 13 15 16]
 [10  9 16 15 18 14 14 10 13 13 14 19  8 13 15 14]
 [15  7 13 14 18 15 12 13  8 15 12 20  8 13 15 17]]",[509.3   511.436 529.11  507.217 514.523]
78746995,12,16,[14  9 15 14 20 14 13 11 12 12 12 19  8 13 15 14],501.683,"[[14  9 15 14 20 14 13 11 12 12 12 19  8 13 15 14]
 [11  8 15 14 17 14 14  9 12 13 15 22  9 13 15 14]
 [18 10 15 15 18 14 14 11  8 11 12 18  9 13 15 14]
 [11  8 18 14 18 14 12  9 12 13 14 21  8 13 15 15]
 [13  8 19 14 15 14 12  9  8 12 16 22  8 13 15 17]]",[501.683 506.573 508.181 504.162 512.999]
95206404,12,16,[12  9 17 14 20 14 12 12 12 12 12 19  8 13 15 14],499.12,"[[12  9 17 14 20 14 12 12 12 12 12 19  8 13 15 14]
 [13 10 14 13 16 16 13 10 12 14 13 18  8 13 15 17]
 [11  8 17 14 17 15 12 10 12 13 14 22  8 13 15 14]
 [12  9 15 14 20 14 12 12 12 14 12 19  8 13 15 14]
 [10  9 17 15 19 14 13 10 12 13 14 19  8 13 15 14]]",[499.12  514.901 505.924 500.179 505.227]
