seed,radius,radius_share,best_solution,best_solution_km,niches,niches_kms
173386297,8,10,[13  8 13 14 20 14 12 12 12 14 11 22  8 13 15 14],500.723,"[[11  8 16 14 17 14 15  9 12 12 14 23  8 13 15 14]
 [13  8 13 14 20 14 12 12 12 14 11 22  8 13 15 14]
 [12  9 14 14 16 14 12  9 12 13 14 19 14 13 15 14]
 [ 9  9 18 13 15 13 14 12 12 15 15 19  8 13 15 15]
 [11  8 16 14 20 14 12  9  8 16 13 24  8 13 15 14]]",[505.632 500.723 517.798 514.568 505.745]
78746995,8,10,[16  9 14 14 19 14 12 12  8 15 12 19  8 13 15 15],504.555,"[[13  9 14 16 20 14 13 12  8 12 14 19  8 13 15 15]
 [12  8 15 14 18 14 12  9 12 15 14 22  8 13 15 14]
 [16  9 14 14 19 14 12 12  8 15 12 19  8 13 15 15]
 [12  9 16 14 17 14 13 10 12 12 14 19  8 13 15 17]
 [12 10 20 15 16 14 12  9  8 11 18 18  9 13 15 15]]",[509.389 504.964 504.555 507.88  517.197]
95206404,8,10,[13  9 18 14 20 16 12 11  8 12 13 19  8 13 15 14],504.491,"[[ 9 10 18 14 16 14 17 11  8 13 13 18 11 13 15 15]
 [12  9 14 14 15 14 14  9  8 18 14 19  8 13 15 19]
 [13  9 18 14 20 16 12 11  8 12 13 19  8 13 15 14]
 [12  9 16 14 18 14 12 14 12 13 12 19  8 13 15 14]
 [12  9 19 14 17 14 13 12 12 12 12 19  8 13 15 14]]",[518.884 516.637 504.491 505.073 506.499]
56428042,8,12,[14  9 18 14 20 14 12 11  8 12 13 19  9 13 15 14],503.686,"[[14  9 18 14 20 14 12 11  8 12 13 19  9 13 15 14]
 [ 9  8 20 14 15 14 12 13  8 12 16 22  8 13 15 16]
 [10  8 16 14 19 13 14 10 12 14 13 22  8 13 15 14]
 [11  8 20 16 18 13 12 11 12 11 13 20  8 13 15 14]
 [10  9 17 14 16 14 17 10  8 16 13 19  8 13 15 16]]",[503.686 517.928 506.917 507.036 514.035]
27886648,8,12,[14  8 16 14 20 13 12 12 12 12 10 21  8 13 15 15],501.193,"[[12  8 19 15 16 14 12 11 12 11 13 22  8 13 15 14]
 [10  9 21 15 16 14 14 11  8 13 13 19  8 13 15 16]
 [12  8 18 15 17 14 13 10 12 11 14 21  8 13 15 14]
 [16  9 15 14 20 14 13 12  8 13 12 19  8 13 15 14]
 [14  8 16 14 20 13 12 12 12 12 10 21  8 13 15 15]]",[506.525 513.092 506.22  501.661 501.193]
173386297,8,12,[10  9 19 15 18 14 14 10 12 11 14 19  8 13 15 14],504.252,"[[11 10 18 12 16 14 14  9  8 17 16 18  8 13 15 16]
 [11  9 19 14 14 14 16 11  8 16 14 19  8 13 15 14]
 [14 10 18 17 14 14 14  9  8 12 16 18  8 13 15 15]
 [10  9 19 15 18 14 14 10 12 11 14 19  8 13 15 14]
 [15  9 13 15 19 14 12 12  8 12 12 18 12 13 15 16]]",[514.966 513.495 518.261 504.252 512.747]
78746995,8,12,[16  8 14 15 20 14 13 12  8 11 12 22  8 13 15 14],502.529,"[[13 10 13 16 19 14 15 12  8 11 12 18  8 13 15 18]
 [11  8 16 14 20 14 12 11 12 13 13 21  8 13 15 14]
 [16  8 14 15 20 14 13 12  8 11 12 22  8 13 15 14]
 [10 10 16 15 18 14 14 10 12 11 14 18  8 13 15 17]
 [14  8 19 15 14 14 12  9  8 12 15 23  8 13 15 16]]",[510.741 505.466 502.529 507.75  514.52 ]
95206404,8,12,[14 10 15 14 20 14 12  9 12 14 13 18  8 13 15 14],503.226,"[[13 10 18 14 16 14 14  9 12 12 14 18  8 13 15 15]
 [12 10 14 14 17 14 13  9 12 17 14 18  8 13 15 15]
 [13  9 15 14 20 14 12 11  8 12 12 21 10 13 15 16]
 [14 10 15 14 20 14 12  9 12 14 13 18  8 13 15 14]
 [12  9 18 15 16 14 14 10 12 12 14 18  8 13 15 15]]",[505.952 507.141 507.833 503.226 507.931]
56428042,8,14,[12  8 16 14 18 14 12  9 12 12 14 24  8 13 15 14],502.889,"[[12  8 16 14 18 14 12  9 12 12 14 24  8 13 15 14]
 [12 10 20 14 15 16 12  9  8 14 14 18  8 13 15 17]
 [ 9  9 16 13 20 13 12 12 12 18 12 19  8 13 15 14]
 [12  9 16 14 17 14 13  9 12 13 14 19 11 13 15 14]
 [20  9 13 14 16 14 13 12  8 15 12 19  8 13 15 14]]",[502.889 514.598 511.716 508.474 508.62 ]
27886648,8,14,[14  8 14 14 20 14 12 12 12 12 10 23  8 13 15 14],499.392,"[[10  8 17 14 19 14 14 11 12 12 12 22  8 13 15 14]
 [11 10 21 14 17 13 12 11 12 12 14 18  8 13 15 14]
 [11  9 19 13 14 14 12 11  8 13 16 19  8 13 15 20]
 [13 10 13 15 20 14 12 11  8 14 17 18  8 13 15 14]
 [14  8 14 14 20 14 12 12 12 12 10 23  8 13 15 14]]",[506.408 506.026 519.498 512.349 499.392]
