seed,radius,radius_share,best_solution,best_solution_km,niches,niches_kms
56428042,8,6,[12  9 14 14 20 16 12 11 12 13 13 19  8 13 15 14],504.163,"[[12 10 21 14 15 13 12 10  8 12 15 18 11 13 15 16]
 [13  9 18 14 14 13 13  9  8 17 16 20  8 13 15 15]
 [12  9 14 14 20 16 12 11 12 13 13 19  8 13 15 14]
 [13  8 16 14 20 14 12 15  8 12 12 21  8 13 15 14]
 [11  9 15 14 15 14 16 10  8 14 14 23  8 13 15 16]]",[517.077 516.339 504.163 504.949 514.129]
27886648,8,6,[16  9 15 15 20 14 13 12  8 12 12 19  8 13 15 14],502.292,"[[14 10 17 14 17 14 13 10 12 12 14 18  8 13 15 14]
 [ 9  8 15 15 20 14 12 11 13 11 13 24  8 13 15 14]
 [16 10 17 15 17 14 12 12  8 11 12 18  8 13 15 17]
 [15 10 13 13 20 14 12  9  8 17 13 18  8 13 15 17]
 [16  9 15 15 20 14 13 12  8 12 12 19  8 13 15 14]]",[507.41  507.199 508.031 510.608 502.292]
